64,88,97
15,82,41
46,23,56
20,27,44
22,49,43
48,98,12
58,40,76
15,28,41
11,81,31
54,32,77
70,75,64
63,37,11
90,29,85
25,92,28
99,48,87
26,73,81
95,36,13
84,84,98
49,23,21
81,29,12
40,83,37
85,36,90
73,98,12
31,43,11
88,68,98
57,81,84
93,80,52
59,58,49
46,31,97
26,66,81
81,29,12
64,82,21
79,34,38
98,25,14
86,61,53
87,18,95
97,56,48
52,89,49
65,48,92
93,80,52
76,11,98
70,95,12
78,77,43
51,15,84
57,81,84
66,86,72
16,28,59
62,18,65
16,28,59
26,77,14
70,95,12
87,12,11
58,40,76
85,50,29
89,67,43
36,14,60
37,73,35
25,10,29
49,23,21
34,72,45
49,61,81
21,78,34
43,95,84
58,40,76
83,98,16
59,81,47
13,30,91
63,37,11
69,61,26
48,99,42
20,46,81
99,48,87
50,55,29
59,58,49
61,37,19
16,28,59
95,98,70
48,12,61
65,15,73
26,73,81
15,82,41
49,61,81
18,65,77
34,72,45
59,58,49
15,82,41
95,98,70
76,24,37
39,74,86
48,98,12
11,81,31
94,82,72
70,95,12
98,33,95
62,66,95
93,80,52
16,28,59
46,31,97
64,15,14
50,39,19
98,33,95
39,13,22
11,76,39
24,96,18
22,49,43
26,42,12
24,96,18
31,18,64
70,95,12
66,86,72
66,47,15
15,68,99
53,28,85
53,28,85
85,36,90
49,61,81
98,25,14
93,80,52
15,47,13
50,74,34
95,20,11
26,23,32
14,91,63
76,24,37
95,98,70
79,34,38
99,21,41
31,18,64
99,96,71
79,49,18
88,21,52
86,61,53
53,28,85
84,97,55
49,23,21
38,52,44
52,89,49
49,23,21
35,32,24
73,52,22
79,34,38
71,83,95
93,80,52
88,83,26
37,54,45
70,94,16
94,82,72
27,56,99
15,82,41
45,65,86
26,78,82
95,20,11
49,61,81
83,98,16
43,19,60
95,98,70
83,33,19
75,29,48
38,55,80
50,39,19
98,25,14
18,65,25
44,63,29
83,33,19
12,77,91
96,87,61
58,40,76
98,95,51
53,28,85
72,55,43
49,61,81
76,11,98
77,38,26
12,30,56
88,68,98
65,15,73
78,32,56
38,12,99
63,29,24
61,37,19
32,34,98
16,86,52
18,65,77
47,95,11
60,64,40
57,86,61
18,66,33
15,28,41
24,96,18
74,60,47
36,14,60
38,12,99
26,23,32
15,68,99
26,24,49
78,77,43
64,98,39
12,10,97
74,65,54
37,54,45
65,32,38
75,29,48
49,61,81
93,35,90
86,15,74
44,51,24
59,58,49
86,61,53
36,14,60
49,61,81
50,74,34
91,81,38
58,44,40
69,61,26
15,28,41
48,12,61
16,86,52
93,80,52
18,66,33
63,37,11
23,99,52
91,31,26
18,65,77
97,56,48
41,59,13
94,59,65
74,60,47
17,69,30
48,12,61
83,11,71
66,79,20
59,91,32
70,95,12
68,77,50
70,95,12
57,61,41
45,50,10
12,30,56
83,11,71
14,93,35
65,32,38
38,88,88
