93,85
18,18
59,82
85,79
44,100
96,94
83,66
32,61
12,80
18,0
88,69
47,88
58,7
50,36
47,93
3,72
84,38
41,61
47,12
56,5
0,3
60,70
36,53
42,29
6,4
15,24
78,33
66,100
92,18
22,96
72,32
44,88
37,58
3,70
16,68
44,44
34,7
64,61
20,79
29,56
16,75
74,32
62,36
26,51
96,86
58,97
9,57
56,31
42,59
26,54
98,2
47,61
57,81
59,86
17,36
77,99
71,34
23,73
37,10
19,71
0,37
70,6
57,93
42,4
27,28
59,3
22,36
28,36
22,7
95,2
68,13
48,88
52,61
51,28
85,38
52,4
35,28
47,96
12,82
83,46
9,14
42,61
23,51
53,94
23,55
59,61
7,24
94,87
28,21
1,21
59,69
80,57
0,35
67,95
31,84
57,62
99,17
90,62
16,44
97,73
